Fecha;Sorteo;Euros;Numero;Categoria
14/01/2023;4.º DE 2023;1500000;88352;Primer Premio Extraordinario
14/01/2023;4.º DE 2023;300000;20005;Segundo Premio Extraordinario
14/01/2023;4.º DE 2023;150000;208;Tercer Premio Extraordinario
19/01/2023;5.º DE 2023;300000;23584;Primer Premio Ordinario
19/01/2023;5.º DE 2023;60000;55266;Segundo Premio Ordinario
26/01/2023;7.º DE 2023;300000;65193;Primer Premio Ordinario
26/01/2023;7.º DE 2023;60000;34127;Segundo Premio Ordinario
28/01/2023;8.º DE 2023;600000;29027;Primer Premio Ordinario
28/01/2023;8.º DE 2023;120000;272;Segundo Premio Ordinario
02/02/2023;9.º DE 2023;300000;88794;Primer Premio Ordinario
02/02/2023;9.º DE 2023;60000;11833;Segundo Premio Ordinario
04/02/2023;10.º DE 2023;600000;50820;Primer Premio Ordinario
04/02/2023;10.º DE 2023;120000;27568;Segundo Premio Ordinario
09/02/2023;11.º DE 2023;300000;96845;Primer Premio Ordinario
09/02/2023;11.º DE 2023;60000;99855;Segundo Premio Ordinario
11/02/2023;12.º DE 2023;600000;24360;Primer Premio Ordinario
11/02/2023;12.º DE 2023;120000;49481;Segundo Premio Ordinario
16/02/2023;13.º DE 2023;300000;33115;Primer Premio Ordinario
16/02/2023;13.º DE 2023;60000;49395;Segundo Premio Ordinario
18/02/2023;14.º DE 2023;1300000;40107;Primer Premio Extraordinario
18/02/2023;14.º DE 2023;250000;14917;Segundo Premio Extraordinario
23/02/2023;15.º DE 2023;300000;65545;Primer Premio Ordinario
23/02/2023;15.º DE 2023;60000;50195;Segundo Premio Ordinario
25/02/2023;16.º DE 2023;600000;64634;Primer Premio Ordinario
25/02/2023;16.º DE 2023;120000;5066;Segundo Premio Ordinario
02/03/2023;17.º DE 2023;300000;58993;Primer Premio Ordinario
02/03/2023;17.º DE 2023;60000;17508;Segundo Premio Ordinario
04/03/2023;18.º DE 2023;600000;13440;Primer Premio Ordinario
04/03/2023;18.º DE 2023;120000;92412;Segundo Premio Ordinario
09/03/2023;19.º DE 2023;300000;64809;Primer Premio Ordinario
09/03/2023;19.º DE 2023;60000;97274;Segundo Premio Ordinario
11/03/2023;20.º DE 2023;600000;7540;Primer Premio Ordinario
11/03/2023;20.º DE 2023;120000;16717;Segundo Premio Ordinario
16/03/2023;21.º DE 2023;300000;70551;Primer Premio Ordinario
16/03/2023;21.º DE 2023;60000;85587;Segundo Premio Ordinario
19/03/2023;22.º DE 2023;1300000;56845;Primer Premio Extraordinario
19/03/2023;22.º DE 2023;250000;56668;Segundo Premio Extraordinario
